0,1,2,3
Thailand,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",15.65 $,10.81-21.67
Thailand,Sports And Leisure,Edit,
Thailand,"Fitness Club, Monthly Fee for 1 Adult",43.21 $,24.38-81.27
Thailand,Tennis Court Rent (1 Hour on Weekend),9.05 $,4.06-13.54
Thailand,"Cinema, International Release, 1 Seat",5.96 $,4.06-9.48
Thailand,Childcare,Edit,
Thailand,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",377.83 $,189.63-948.14
Thailand,"International Primary School, Yearly for 1 Child","10,763.98 $","6,772.46-19,477.60"
Thailand,Clothing And Shoes,Edit,
Thailand,1 Pair of Jeans (Levis 501 Or Similar),40.23 $,13.54-81.27
Thailand,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",31.79 $,13.54-67.72
Thailand,1 Pair of Nike Running Shoes (Mid-Range),82.15 $,40.63-127.32
Thailand,1 Pair of Men Leather Business Shoes,69.53 $,32.51-121.90
Thailand,Rent Per Month,Edit,
Thailand,Apartment (1 bedroom) in City Centre,382.71 $,189.63-812.70
Thailand,Apartment (1 bedroom) Outside of Centre,229.43 $,108.36-440.21
Thailand,Apartment (3 bedrooms) in City Centre,"1,007.85 $","474.07-2,031.74"
Thailand,Apartment (3 bedrooms) Outside of Centre,598.84 $,"270.90-1,369.54"
Thailand,Buy Apartment Price,Edit,
Thailand,Price per Square Meter to Buy Apartment in City Centre,"3,655.70 $","1,435.76-7,585.16"
Thailand,Price per Square Meter to Buy Apartment Outside of Centre,"1,901.38 $","948.14-2,708.98"
Thailand,Salaries And Financing,Edit,
Thailand,Average Monthly Net Salary (After Tax),532.21 $,
Thailand,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.34,3.00-8.00
Vietnam,Restaurants,Edit,Range
Vietnam,"Meal, Inexpensive Restaurant",2.05 $,1.23-4.10
Vietnam,"Meal for 2 People, Mid-range Restaurant, Three-course",20.50 $,12.30-49.21
Vietnam,McMeal at McDonalds (or Equivalent Combo Meal),4.80 $,3.69-6.15
Vietnam,Domestic Beer (0.5 liter draught),1.03 $,0.62-2.05
Vietnam,Imported Beer (0.33 liter bottle),1.64 $,1.03-3.08
Vietnam,Cappuccino (regular),1.80 $,0.82-3.08
Vietnam,Coke/Pepsi (0.33 liter bottle),0.52 $,0.41-1.00
Vietnam,Water (0.33 liter bottle),0.33 $,0.21-0.62
Vietnam,Markets,Edit,
Vietnam,"Milk (regular), (1 liter)",1.49 $,1.19-1.85
Vietnam,Loaf of Fresh White Bread (500g),1.05 $,0.41-2.05
Vietnam,"Rice (white), (1kg)",0.96 $,0.62-1.39
Vietnam,Eggs (regular) (12),1.62 $,0.98-2.21
Vietnam,Local Cheese (1kg),12.00 $,6.11-24.61
Vietnam,Chicken Fillets (1kg),3.81 $,2.05-5.54
Vietnam,Beef Round (1kg) (or Equivalent Back Leg Red Meat),10.65 $,6.15-14.35
Vietnam,Apples (1kg),3.30 $,1.23-5.33
Vietnam,Banana (1kg),1.11 $,0.62-2.05
Vietnam,Oranges (1kg),1.51 $,0.62-3.28
Vietnam,Tomato (1kg),1.12 $,0.49-1.85
Vietnam,Potato (1kg),1.28 $,0.62-1.85
Vietnam,Onion (1kg),1.27 $,0.82-2.46
Vietnam,Lettuce (1 head),0.86 $,0.41-1.64
Vietnam,Water (1.5 liter bottle),0.52 $,0.41-0.82
Vietnam,Bottle of Wine (Mid-Range),9.81 $,4.10-16.40
Vietnam,Domestic Beer (0.5 liter bottle),0.86 $,0.53-1.24
Vietnam,Imported Beer (0.33 liter bottle),1.42 $,0.74-2.46
Vietnam,Cigarettes 20 Pack (Marlboro),1.25 $,1.03-2.05
Vietnam,Transportation,Edit,
Vietnam,One-way Ticket (Local Transport),0.29 $,0.25-0.41
Vietnam,Monthly Pass (Regular Price),8.20 $,5.13-14.35
Vietnam,Taxi Start (Normal Tariff),0.62 $,0.41-0.82
Vietnam,Taxi 1km (Normal Tariff),0.62 $,0.49-0.82
Vietnam,Taxi 1hour Waiting (Normal Tariff),4.10 $,1.44-12.30
Vietnam,Gasoline (1 liter),1.06 $,0.86-1.25
Vietnam,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"41,009.96 $","28,706.97-48,350.74"
Vietnam,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"35,354.00 $","32,397.87-41,009.96"
Vietnam,Utilities (Monthly),Edit,
